
# New session started: 2016-08-25 06:39:05 (EDT)
# mode=1, expid=23, expType=0, user=0
2.3
114.104.158.109|114.104.158.109|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586
0|22|1
0|49|5|4|4|9.91
1|5|1|8|1|2.712
2|49|3|6|3|2.373
3|5|6|3|3|4.192
4|49|2|1|2|2.996
5|49|5|2|2|1.908
6|45|3|7|7|4.836
CHECKPOINT|PASS
8|5|7|8|8|3.281
9|5|1|6|1|2.004
10|5|1|2|1|1.582
11|49|6|1|6|3.712
12|45|1|2|2|1.929
13|39|1|2|1|4.54
14|5|4|5|5|1.612
15|5|2|5|5|1.402|17,18|8.392
16|39|2|7|7|1.969
17|39|3|6|6|2.542
18|45|2|7|7|2.178
19|45|8|1|8|1.676
20|39|8|5|5|1.881
21|49|2|7|2|16.942
22|39|5|4|4|3.163
23|45|8|7|7|1.605
24|49|8|5|5|1.773
25|5|5|8|8|17.961
26|39|4|6|6|1.555
27|5|4|6|6|1.678
28|49|7|3|3|1.35
29|45|8|5|8|2.364
30|39|5|2|2|1.175
31|49|8|1|8|1.659
32|49|4|6|4|3.104
33|45|4|6|4|1.709
CHECKPOINT|PASS
35|45|1|6|6|1.266
36|39|7|3|3|1.647
37|5|2|7|2|2.509
38|39|6|1|1|4.153
39|39|1|8|1|2.3
40|5|3|7|7|1.853
CHECKPOINT|PASS
42|45|5|4|5|2.137
43|45|3|6|3|1.985
44|45|4|3|3|1.904
45|45|5|2|2|5.141
46|5|3|4|4|1.666
47|39|8|7|7|1.332
48|49|8|7|7|1.632
49|39|4|3|4|1.826
50|49|3|4|4|1.357
# Session ended successfully: 2016-08-25 06:43:59 (EDT)
